Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
7285,18.77,35.91%,0.0024,0.028871263
7286,9.06,33.59%,0.0024,0.01444019
7287,3.6,15.65%,0.0037,0.01123542
7288,15.8,23.33%,0.0021,0.025439106
7289,21.47,28.68%,0.0001,0.00153124
7290,1.3,32.36%,0.0081,0.007122492
7291,11.32,0.48%,0.0092,0.103644109
7292,10.55,3.63%,0.0056,0.056935396
7293,8.62,17.55%,0.0042,0.029850198
7294,0.51,17.66%,0.0075,0.003149505
7295,8.79,29.55%,0.0087,0.053875229
7296,9.11,26.41%,0.003,0.020112147
7297,18.85,36.14%,0.0017,0.020463937
7298,7.1,12.94%,0.0078,0.048213828
7299,18.76,6.56%,0.0079,0.138481818
7300,21.26,1.11%,0.0053,0.111427274
7301,22.27,6.91%,0.0035,0.072559001
7302,2.55,34.35%,0.0043,0.007198523
7303,0.1,23.45%,0.0034,0.00026027
7304,14.64,29.94%,0.0067,0.068720453
7305,9.94,14.16%,0.0069,0.058874222
7306,11.68,3.00%,0.0036,0.04078656
7307,1.33,37.88%,0.0051,0.0042136
7308,9.68,36.71%,0.0097,0.059426778
7309,14.88,37.38%,0.0007,0.006522499
7310,10.32,0.28%,0.0021,0.021611318
7311,24.22,29.28%,0.0084,0.143878426
7312,11.89,25.34%,0.0065,0.057700981
7313,7.53,25.10%,0.008,0.04511976
7314,14.75,30.14%,0.0045,0.046369575
7315,6.5,9.68%,0.0065,0.0381602
7316,15.1,34.95%,0.009,0.08840295
7317,15.28,12.56%,0.0012,0.016032998
7318,14.48,18.02%,0.004,0.047482816
7319,16.33,15.73%,0.0087,0.119723232
7320,7.41,34.65%,0.004,0.01936974
7321,13.02,23.53%,0.007,0.069694758
7322,11.21,25.65%,0.0022,0.018336197
7323,17.68,33.08%,0.0003,0.003549437
7324,8.84,24.22%,0.0046,0.030815179
7325,12.61,7.48%,0.003,0.035000316
7326,21.89,31.19%,0.0084,0.126525076
7327,6.77,21.93%,0.0037,0.019555754
7328,10.73,21.62%,0.0082,0.068963427
7329,3.87,21.54%,0.0024,0.007287365
7330,5.26,31.92%,0.0092,0.032945274
7331,5.48,37.20%,0.0042,0.014454048
7332,22.77,15.08%,0.001,0.019336284
7333,21,22.29%,0.0021,0.03427011
7334,8.61,11.42%,0.0076,0.057963209
7335,22.66,39.17%,0.0097,0.133705557
7336,24.91,20.34%,0.0085,0.168668101
7337,10.4,20.50%,0.0034,0.0281112
7338,1.8,39.28%,0.0048,0.005246208
7339,15.05,17.63%,0.0002,0.002479337
7340,23.76,32.21%,0.0074,0.11919109
7341,11.56,16.35%,0.0018,0.017405892
7342,0.71,3.86%,0.0069,0.004709899
7343,1.35,1.42%,0.0056,0.007452648
7344,12.22,30.59%,0.0024,0.020356565
7345,5.04,21.26%,0.0026,0.01031809
7346,7.04,7.56%,0.004,0.026031104
7347,5.92,26.65%,0.0005,0.00217116
7348,4.09,17.35%,0.0037,0.012507425
7349,21.61,29.14%,0.01,0.15312846
7350,22.48,24.28%,0.0026,0.044256826
7351,23.38,25.14%,0.0056,0.098012701
7352,14.85,1.64%,0.0055,0.08033553
7353,20.37,13.34%,0.0028,0.049427398
7354,4.67,19.81%,0.0082,0.030707959
7355,7.4,33.46%,0.0088,0.043330848
7356,3.68,8.67%,0.0044,0.014788154
7357,4.05,26.80%,0.0078,0.02312388
7358,6.66,27.57%,0.01,0.04823838
7359,9.08,9.41%,0.0057,0.04688576
7360,12.89,28.89%,0.0044,0.040330748
7361,0.27,28.58%,0.0059,0.001137721
7362,20.75,23.93%,0.0085,0.134168463
7363,5.95,7.22%,0.0053,0.029258173
7364,0.02,31.94%,0.0042,5.71704E-05
7365,8.95,34.70%,0.0089,0.052014715
7366,2.9,6.91%,0.0078,0.021056958
7367,1.89,16.52%,0.0028,0.004417762
7368,18.25,31.22%,0.0095,0.119247325
7369,17.07,33.53%,0.0083,0.094175361
7370,19.76,24.77%,0.0007,0.010405814
7371,12.89,37.35%,0.0044,0.035532574
7372,20.22,2.86%,0.0077,0.151241152
7373,0.38,20.43%,0.0004,0.000120946
7374,6.06,31.06%,0.0047,0.019635491
7375,1.57,32.35%,0.0009,0.000955895
7376,14.59,21.05%,0.0033,0.038012057
7377,4.28,1.42%,0.0049,0.020674198
7378,17.74,10.12%,0.0079,0.125963225
7379,21.31,3.38%,0.0013,0.026766639
7380,16.08,29.82%,0.0009,0.01015645
7381,20.31,1.24%,0.0062,0.124360567
7382,13.48,23.16%,0.0063,0.065255602
7383,16.62,20.97%,0.0099,0.130034381
7384,20.02,38.52%,0.0091,0.112005494
7385,21.57,0.85%,0.009,0.192479895
7386,13.4,27.47%,0.0095,0.09233069
7387,14.7,2.96%,0.0001,0.001426488
7388,3.56,20.31%,0.0056,0.015886998
7389,3.97,36.62%,0.0029,0.007296939
7390,9.01,10.28%,0.0094,0.075987457
7391,23.28,23.32%,0.0087,0.155304605
7392,12.35,21.26%,0.0046,0.044732194
7393,13.36,2.41%,0.0086,0.112127006
7394,24.75,31.25%,0.0027,0.045942188
7395,17.88,21.54%,0.0045,0.063128916
7396,9.15,6.38%,0.0008,0.006852984
7397,2.95,8.21%,0.0027,0.007311074
7398,22.58,27.18%,0.0011,0.018087032
7399,0.29,5.97%,0.005,0.001363435
7400,3.59,9.60%,0.0003,0.000973608
7401,14.23,4.77%,0.0094,0.127381553
7402,6.68,11.44%,0.0065,0.038452752
7403,7.08,17.37%,0.001,0.005850204
7404,17.85,21.58%,0.0013,0.018197361
7405,22.64,38.54%,0.0057,0.079312901
7406,5.37,21.78%,0.001,0.004200414
7407,13.36,12.30%,0.0099,0.115995528
7408,1.22,30.95%,0.009,0.00758169
7409,2.8,13.14%,0.003,0.00729624
7410,11.2,37.67%,0.009,0.06282864
7411,2.91,22.40%,0.0009,0.002032344
7412,2.31,0.57%,0.0061,0.014010681
7413,10.07,23.32%,0.0069,0.053279564
7414,4.29,12.16%,0.0047,0.017711179
7415,20.09,28.08%,0.0051,0.073688513
7416,24.98,26.09%,0.006,0.110776308
7417,6.02,25.75%,0.0028,0.01251558
7418,18.63,5.07%,0.0001,0.001768546
7419,3.15,20.93%,0.0033,0.008219327
7420,23.22,34.11%,0.0006,0.009179795
7421,14.32,15.91%,0.0087,0.104762686
7422,18.2,11.40%,0.0075,0.120939
7423,1.88,27.83%,0.0099,0.01343228
7424,7.19,9.26%,0.0053,0.034578292
7425,20.66,12.33%,0.0003,0.005433787
7426,17.4,14.29%,0.0034,0.050706036
7427,22.15,29.16%,0.0018,0.028243908
7428,7.98,10.38%,0.01,0.07151676
7429,24.36,15.76%,0.0075,0.15390648
7430,17.45,27.87%,0.0083,0.104469486
7431,3.63,15.27%,0.0052,0.015993635
7432,22.72,27.49%,0.0041,0.067544515
7433,7.95,31.85%,0.0098,0.053095665
7434,9.56,26.22%,0.0066,0.046552229
7435,9.79,0.28%,0.0048,0.046860422
7436,13.99,28.85%,0.0046,0.045787871
7437,5.38,6.57%,0.0076,0.038201658
7438,9.14,27.12%,0.0072,0.04796087
7439,18.25,22.55%,0.0062,0.087634675
7440,23.11,19.79%,0.004,0.074146124
7441,23.81,17.37%,0.0079,0.155426204
7442,21.13,29.69%,0.0029,0.043083859
7443,0.32,31.09%,0.0074,0.001631789
7444,20.02,27.33%,0.0012,0.017458241
7445,4.59,35.26%,0.0095,0.028229877
7446,20.87,20.61%,0.0067,0.111010243
7447,23.68,34.47%,0.0066,0.102415526
7448,24.77,30.02%,0.0069,0.119604917
7449,24.64,20.61%,0.003,0.058685088
7450,15.87,19.24%,0.0086,0.110222863
7451,21.67,16.30%,0.0046,0.083433834
7452,2.66,2.46%,0.002,0.005189128
7453,22.28,32.08%,0.0009,0.013619318
7454,19.94,13.05%,0.0061,0.105760763
7455,24.93,5.20%,0.0022,0.051994008
7456,5.98,22.95%,0.0043,0.019812637
7457,15.99,13.80%,0.0012,0.016540056
7458,21.42,26.63%,0.001,0.015715854
7459,6.42,27.30%,0.0047,0.021936498
7460,0.8,17.50%,0.0013,0.000858
7461,24.7,8.91%,0.0072,0.161994456
7462,1.69,32.91%,0.0023,0.002607788
7463,21.4,6.38%,0.0083,0.166287844
7464,15.55,13.11%,0.0002,0.002702279
7465,7.85,29.45%,0.0046,0.025475605
7466,16.9,9.41%,0.0072,0.110229912
7467,0.07,37.66%,0.004,0.000174552
7468,23.65,24.73%,0.0039,0.069425285
7469,3.59,28.93%,0.0071,0.018115032
7470,6.73,16.86%,0.0071,0.039726786
7471,4.26,10.61%,0.0096,0.036556934
7472,15.59,7.76%,0.0058,0.083405253
7473,5.83,17.54%,0.0079,0.037978602
7474,18.55,33.93%,0.005,0.061279925
7475,17.32,5.25%,0.0054,0.08861778
7476,15.4,14.05%,0.0065,0.08603595
7477,6.67,25.72%,0.0071,0.03517678
7478,8.86,24.57%,0.0027,0.018044365
7479,5.94,36.44%,0.0026,0.009816206
7480,4.46,21.20%,0.0025,0.0087862
7481,6.1,2.39%,0.0066,0.039297786
7482,19.36,36.76%,0.009,0.110189376
7483,2.35,13.10%,0.0099,0.020217285
7484,7.82,23.65%,0.0063,0.037614591
7485,0.51,3.00%,0.0002,0.00009894
7486,3.68,39.71%,0.0003,0.000665602
7487,8.79,16.24%,0.0052,0.038285021
7488,7.54,37.09%,0.0052,0.024665753
7489,3.71,20.06%,0.0019,0.005634971
7490,3.85,14.60%,0.0079,0.02597441
7491,0.96,18.19%,0.0083,0.006518621
7492,8.48,22.39%,0.0084,0.055283155
7493,16.64,21.95%,0.0051,0.066236352
7494,22.13,31.21%,0.002,0.030446454
7495,4.41,16.21%,0.0003,0.001108542
7496,13.94,11.73%,0.0004,0.004921935
7497,20,12.45%,0.0078,0.136578
7498,8.47,35.24%,0.0025,0.01371293
7499,8.98,36.82%,0.0058,0.032906671
7500,1.54,12.27%,0.0025,0.003377605
7501,1.97,33.07%,0.0064,0.008438534
7502,8.21,29.17%,0.0033,0.019189972
7503,0.73,34.45%,0.0042,0.002009763
7504,8.24,23.58%,0.0061,0.038411749
7505,23.16,16.06%,0.0083,0.161356183
7506,8.53,32.75%,0.0023,0.013193778
7507,7.07,14.61%,0.0024,0.014488975
7508,20.2,6.04%,0.0015,0.02846988
7509,4.02,1.78%,0.009,0.035535996
7510,8.41,37.70%,0.0056,0.029340808
7511,2.26,39.07%,0.0071,0.009776828
7512,0.99,23.09%,0.0041,0.003121777
7513,0.92,10.00%,0.0002,0.0001656
7514,12.18,14.26%,0.0036,0.037595275
7515,3.55,8.89%,0.0056,0.018112668
7516,4.38,24.11%,0.0015,0.004985973
7517,5.77,23.69%,0.0098,0.043150253
7518,12.16,25.57%,0.0016,0.014481101
7519,10.99,27.02%,0.0051,0.04090456
7520,11.49,36.94%,0.0009,0.006521035
7521,11.69,36.08%,0.0025,0.01868062
7522,2.21,6.65%,0.0025,0.005157588
7523,8.2,31.93%,0.0014,0.007814436
7524,23.58,14.76%,0.0019,0.038189225
7525,18.82,6.45%,0.0043,0.075706273
7526,21.74,11.64%,0.0089,0.17096423
7527,19.52,25.91%,0.0038,0.054956998
7528,0.3,35.70%,0.0085,0.00163965
7529,24.68,29.66%,0.0003,0.005207974
7530,16.87,14.74%,0.0064,0.092053517
7531,6.67,35.07%,0.0081,0.035079731
7532,5.53,36.82%,0.0045,0.015722343
7533,7.68,37.18%,0.0049,0.023640422
7534,6.51,34.86%,0.0012,0.005088737
7535,15.88,5.53%,0.0012,0.018002203
7536,10.79,10.24%,0.0084,0.081354874
7537,6.92,35.05%,0.0024,0.010786896
7538,21.77,8.06%,0.0071,0.1421089
7539,6.14,29.13%,0.0069,0.030024784
7540,17.82,23.78%,0.003,0.040747212
7541,2.46,32.27%,0.0024,0.003998779
7542,23.78,10.99%,0.0017,0.035983183
7543,13.52,36.85%,0.0045,0.03842046
7544,4.79,6.95%,0.007,0.031199665
7545,12.47,6.90%,0.0024,0.027862968
7546,24.42,12.96%,0.0038,0.080769638
7547,11.43,33.62%,0.0006,0.00455234
7548,1.15,28.43%,0.001,0.000823055
7549,23.68,19.53%,0.0071,0.135292602
7550,7.94,7.35%,0.0086,0.063265126
7551,8.6,2.22%,0.0028,0.023545424
7552,4.56,2.33%,0.0056,0.024941011
7553,14.99,18.65%,0.0083,0.10121323
7554,1.88,35.88%,0.0089,0.010728558
7555,17.52,11.87%,0.0041,0.063305542
7556,12.87,20.66%,0.007,0.071477406
7557,12.81,11.66%,0.0069,0.078082843
7558,24.3,27.22%,0.0028,0.049519512
7559,1.28,39.90%,0.0036,0.002769408
7560,13.98,18.11%,0.0029,0.033199844
7561,10.52,8.74%,0.0099,0.095045465
7562,9.48,31.84%,0.006,0.038769408
7563,23.31,9.49%,0.0083,0.175112412
7564,7.72,38.15%,0.0057,0.027216474
7565,21.66,4.87%,0.0043,0.088602179
7566,6.5,39.80%,0.0033,0.0129129
7567,5.03,19.28%,0.0056,0.02273721
7568,12.23,33.35%,0.0056,0.045647252
7569,12.96,33.83%,0.0041,0.035160091
7570,7.71,31.67%,0.0038,0.020019323
7571,24.67,21.96%,0.0093,0.179047952
7572,24.23,2.29%,0.0049,0.116008152
7573,7.39,33.05%,0.0026,0.012863773
7574,14.55,19.79%,0.0057,0.066522164
7575,13.32,26.22%,0.0017,0.016706743
7576,21.89,33.98%,0.0055,0.079484779
7577,23.85,11.34%,0.0047,0.099383427
7578,18,12.64%,0.0034,0.05346432
7579,6.83,1.12%,0.0046,0.031066118
7580,13.43,28.76%,0.0037,0.035399868
7581,11.16,5.72%,0.0024,0.025251955
7582,10.49,9.62%,0.002,0.018961724
7583,18.83,30.12%,0.0006,0.007895042
7584,1.09,33.83%,0.0038,0.002740761
7585,15.25,16.12%,0.0051,0.06523767
7586,23.14,1.00%,0.0046,0.10537956
7587,17.59,0.18%,0.0018,0.031605008
7588,5.23,11.61%,0.0002,0.000924559
7589,0.33,6.99%,0.0011,0.000337626
7590,24.08,1.26%,0.0035,0.083218072
7591,0.94,6.61%,0.0071,0.006232849
7592,12.43,19.55%,0.0099,0.098999357
7593,20.12,5.35%,0.0097,0.184722726
7594,8.5,32.63%,0.0037,0.021187865
7595,13.56,28.78%,0.0057,0.055047362
7596,10.83,30.09%,0.0091,0.068898402
7597,24.9,24.01%,0.0009,0.017029359
7598,23.13,21.64%,0.0007,0.012687268
7599,21.59,13.48%,0.0049,0.091530373
7600,8.38,17.47%,0.0097,0.067085336
7601,12.08,8.81%,0.0085,0.093633892
7602,1.09,37.89%,0.0028,0.001895597
7603,13.28,16.10%,0.0068,0.075765056
7604,14.27,11.94%,0.005,0.06283081
7605,18.89,9.38%,0.0086,0.147215815
7606,3.38,2.63%,0.0066,0.0217213
7607,2.84,22.29%,0.0015,0.003310446
7608,16.14,17.99%,0.0089,0.117804085
7609,8.06,27.35%,0.0024,0.014053416
7610,15.83,36.61%,0.0047,0.047162794
7611,16.55,16.86%,0.0008,0.011007736
7612,15.53,21.95%,0.0051,0.061817942
7613,24.71,24.35%,0.0062,0.115897313
7614,3.08,7.13%,0.006,0.017162376
7615,10.94,5.54%,0.0063,0.065103721
7616,8.91,7.24%,0.0079,0.065292836
7617,1.24,1.55%,0.0064,0.007812992
7618,14.65,17.77%,0.0066,0.079508187
7619,7.61,25.93%,0.0074,0.04171178
7620,23.61,23.38%,0.0061,0.11034889
7621,19.84,27.85%,0.0035,0.05010096
7622,4.28,33.15%,0.009,0.02575062
7623,14.01,39.43%,0.0037,0.031397671
7624,22.93,19.43%,0.0045,0.083136155
7625,24.53,30.39%,0.0045,0.076838999
7626,10.21,12.46%,0,0
7627,23.06,12.32%,0.0022,0.044481818
7628,20.91,30.10%,0.0047,0.068695623
7629,15.43,34.52%,0.0077,0.077797443
7630,10.26,20.85%,0.0014,0.011369106
7631,9.93,7.30%,0.0069,0.063515259
7632,9.47,25.07%,0.0067,0.047542336
7633,7.04,18.13%,0.0088,0.050720102
7634,7.03,24.99%,0.0008,0.004218562
7635,24.57,5.35%,0.0024,0.055813212
7636,10.97,1.75%,0.0086,0.092691015
7637,11.03,7.11%,0.0054,0.055327142
7638,9.99,7.03%,0.0083,0.077087935
7639,9.68,21.01%,0.0013,0.009940102
7640,8.33,20.91%,0.0008,0.005270558
7641,14.78,19.37%,0.0037,0.044093322
7642,15.97,27.27%,0.0003,0.003484494
7643,0.42,39.39%,0.0015,0.000381843
7644,16.23,34.36%,0.0065,0.069246918
7645,3.21,30.69%,0.0038,0.008454434
7646,4.36,20.76%,0.004,0.013819456
7647,14.33,2.16%,0.0091,0.127586295
7648,23.01,20.54%,0.0046,0.084105232
7649,17.31,36.17%,0.0036,0.039776303
7650,11.63,9.94%,0.0088,0.092171006
7651,8.9,1.04%,0.0023,0.020257112
7652,13.04,27.16%,0.0013,0.012347837
7653,4.99,13.35%,0.0077,0.03329353
7654,22.81,13.29%,0.0033,0.065269218
7655,11.66,1.12%,0.008,0.092235264
7656,11.97,23.05%,0.0025,0.023027288
7657,13.94,23.23%,0.0034,0.036385909
7658,2.1,1.89%,0.0074,0.015246294
7659,13.55,32.99%,0.0084,0.076270782
7660,24.84,20.53%,0.0067,0.132260332
7661,14.32,3.45%,0.0092,0.127198832
7662,14.62,37.19%,0.0069,0.063361472
7663,14.2,5.70%,0.0089,0.11917634
7664,13.69,1.80%,0.0029,0.038986382
7665,16.59,37.85%,0.0024,0.024745644
7666,12.97,17.17%,0.0064,0.068755526
7667,12.28,0.82%,0.0055,0.066986172
7668,19.8,6.80%,0.0066,0.12179376
7669,17.44,22.73%,0.0052,0.070074618
7670,7.38,8.85%,0.0085,0.057178395
7671,1.85,31.35%,0.0025,0.003175063
7672,21.23,37.51%,0.0004,0.005306651
7673,4.99,29.71%,0.0022,0.007716436
7674,19.02,14.54%,0.0098,0.159294022
7675,4.13,26.62%,0.009,0.027275346
7676,10.16,14.27%,0.0029,0.025259487
7677,7.01,26.55%,0.0001,0.000514885
7678,17.25,0.16%,0.006,0.1033344
7679,10.66,4.81%,0.0043,0.043633192
7680,11.54,38.68%,0.0063,0.044580866
7681,16.85,17.67%,0.0095,0.131789748
7682,4.07,2.67%,0.0095,0.037632645
7683,20.96,14.74%,0.0093,0.166195613
7684,21.63,12.66%,0.0096,0.181359763
7685,23.26,36.67%,0.0027,0.039772507
7686,16.23,21.86%,0.0037,0.046923851
7687,12.69,26.17%,0.0027,0.025296373
7688,21.9,26.56%,0.0002,0.003216672
7689,0.51,38.75%,0.0024,0.0007497
7690,20.78,28.59%,0.0036,0.053420393
7691,23.37,15.66%,0.0048,0.094609238
7692,3.32,27.68%,0.0086,0.020648806
7693,8.7,22.48%,0.0058,0.039116592
7694,14.11,24.94%,0.0066,0.069900376
7695,22.63,22.21%,0.0049,0.086258997
7696,6.54,28.87%,0.004,0.018607608
7697,23.45,29.90%,0.0029,0.047671505
7698,10.35,20.09%,0.0078,0.064511343
7699,2.17,23.86%,0.0059,0.009748204
7700,20.95,31.58%,0.0043,0.061636157
7701,11.33,16.20%,0.0092,0.087349768
7702,1.98,29.87%,0.006,0.008331444
7703,19.83,20.89%,0,0
7704,3.81,25.31%,0.0082,0.02333465
7705,13.91,23.90%,0.0099,0.104796549
7706,16.87,23.90%,0.0015,0.019257105
7707,22.27,38.42%,0.0057,0.078169036
7708,5.03,28.99%,0.0064,0.022859539
7709,14.99,14.76%,0.0086,0.109886294
7710,14.65,32.73%,0.0053,0.052231792
7711,10.37,28.86%,0.0034,0.025082541
7712,24.94,22.53%,0.0097,0.187413875
7713,8.23,6.55%,0.008,0.06152748
7714,18.19,12.04%,0.0097,0.155199263
7715,14.71,18.99%,0.0099,0.117974053
7716,21.74,18.94%,0.0065,0.114545886
7717,18.43,15.36%,0.0026,0.040557795
7718,23.77,13.63%,0.0071,0.145764058
7719,18.09,23.97%,0.0046,0.063267604
7720,10.18,8.38%,0.0088,0.082076861
7721,10.18,8.34%,0.0014,0.013063383
7722,4.9,26.27%,0.0047,0.016980019
7723,1.58,28.64%,0.0056,0.006313933
7724,22.84,5.14%,0.0065,0.140829156
7725,1.24,0.37%,0.0025,0.00308853
7726,23.05,24.85%,0.0016,0.02771532
7727,3.27,2.38%,0.0009,0.002872957
7728,22.5,32.34%,0.0014,0.0213129
7729,15.29,23.66%,0.0078,0.091044611
7730,9.16,1.26%,0.0074,0.066929922
7731,11.79,19.05%,0.0052,0.049628826
7732,9.14,4.29%,0.0015,0.013121841
7733,18.59,19.96%,0.0018,0.026782985
7734,2.15,35.56%,0.0031,0.004294926
7735,23.78,37.35%,0.0097,0.144512249
7736,9.91,15.04%,0,0
7737,6.46,39.70%,0.0025,0.00973845
7738,13.54,25.53%,0.0094,0.094782437
7739,14.41,16.27%,0.0016,0.019304789
7740,14.4,7.63%,0.0018,0.023942304
7741,3.15,16.61%,0.0036,0.009456426
7742,5.37,24.71%,0.0061,0.024662745
7743,0.63,12.07%,0.0076,0.004210088
7744,9.13,14.68%,0.0033,0.025706063
7745,17.4,9.54%,0.0053,0.083422212
7746,9.36,39.82%,0.0047,0.026474386
7747,10.71,7.02%,0.0012,0.01194979
7748,3.15,3.23%,0.0017,0.005182034
7749,10.96,37.81%,0.0061,0.041577746
7750,21.36,20.77%,0.005,0.08461764
7751,2.25,21.94%,0.0058,0.01018683
7752,13.06,9.73%,0.0052,0.061304162
7753,9.51,24.09%,0.0055,0.039704726
7754,2.39,35.71%,0.0044,0.006760736
7755,16.52,36.06%,0.0004,0.004225155
7756,17.48,9.09%,0.0053,0.08422266
7757,11.38,32.74%,0.001,0.007654188
7758,0.08,6.83%,0.0054,0.000402494
7759,0.63,2.69%,0.0055,0.003371792
7760,7.93,38.26%,0.0012,0.005875178
7761,14.94,34.74%,0.0044,0.042899314
7762,20.03,32.82%,0.0023,0.030949154
7763,5.35,31.84%,0.0006,0.002187936
7764,18.12,32.67%,0.0067,0.081741313
7765,1.13,19.30%,0.0055,0.005015505
7766,18.89,7.49%,0.0015,0.026212709
7767,1.02,26.28%,0.0077,0.005789969
7768,9.51,26.77%,0.0055,0.038302952
7769,15.84,14.06%,0.0004,0.005445158
7770,11.36,24.31%,0.0012,0.010318061
7771,21.74,12.52%,0.0047,0.089385314
7772,7.94,36.12%,0.0069,0.034997297
7773,22.1,2.52%,0.0083,0.178807564
7774,22.36,32.72%,0.0032,0.048140186
7775,17.21,19.95%,0.0058,0.079904309
7776,17.13,26.10%,0.0054,0.068358978
7777,17.64,39.41%,0.0085,0.090848646
7778,5.88,32.53%,0.0089,0.0353084
7779,22.85,32.78%,0.0089,0.136701953
7780,17.66,19.62%,0.0082,0.116399886
7781,15.14,18.45%,0.0071,0.087661357
7782,11.32,38.53%,0.0074,0.05149219
7783,24.42,31.89%,0.0075,0.124743465
7784,11.37,29.83%,0.0047,0.037498146
7785,3.04,27.46%,0.0012,0.002646259
7786,2.36,1.26%,0.0013,0.003029343
7787,8.58,5.22%,0.0074,0.060177718
7788,8.82,6.58%,0.0006,0.004943786
7789,18.75,8.59%,0.0027,0.046276313
7790,10.86,2.88%,0.0024,0.025313357
7791,3.09,37.86%,0.0021,0.004032265
7792,9.32,10.30%,0.0039,0.032604156
7793,0.28,29.72%,0.0077,0.001515237
7794,17.27,24.60%,0.0086,0.111985588
7795,17.12,25.21%,0.007,0.089628336
7796,12.44,6.55%,0.0085,0.09881403
7797,11.94,24.93%,0.0041,0.036749768
7798,16.07,17.70%,0.0067,0.088611587
7799,1.17,16.65%,0.0076,0.007411482
7800,24.09,24.03%,0.0079,0.144579267
7801,14.73,15.67%,0.0045,0.055898141
7802,17.7,36.05%,0.0084,0.09508086
7803,13.01,8.21%,0.0024,0.02866051
7804,2.07,36.86%,0.0048,0.00627359
7805,19.36,28.10%,0.0047,0.065423248
7806,17,25.06%,0.0014,0.01783572
7807,18.87,34.63%,0.0057,0.070311318
7808,13.02,21.32%,0.0011,0.01126855
7809,9.15,10.26%,0.0007,0.005747847
7810,14.54,7.45%,0.0021,0.028259217
7811,20.13,5.91%,0.0067,0.126900124
7812,24.26,29.79%,0.0092,0.156703103
7813,11.71,4.79%,0.0082,0.091422546
7814,16.77,18.58%,0.0047,0.06417443
7815,4.61,29.22%,0.0056,0.018272565
7816,21.49,38.60%,0.008,0.10555888
7817,6.86,9.74%,0.0071,0.043962036
7818,11.05,28.41%,0.0022,0.017403529
7819,1.95,2.37%,0.0013,0.002474921
7820,0.82,0.98%,0.0012,0.000974357
7821,18.98,18.56%,0.0075,0.11592984
7822,0.1,14.59%,0.0083,0.000708903
7823,12.58,13.81%,0.0037,0.040117997
7824,3.48,25.83%,0.0032,0.008259571
7825,13.95,2.50%,0.0023,0.031282875
7826,12.59,12.90%,0.0072,0.078954408
7827,17.07,32.04%,0.0042,0.048723242
7828,22.2,30.80%,0.0036,0.05530464
7829,15.86,10.24%,0.0003,0.004270781
7830,8.68,20.71%,0.0083,0.057123688
7831,2.51,20.42%,0.003,0.005992374
7832,6.18,19.62%,0.005,0.02483742
7833,5.99,21.34%,0.0082,0.038636219
7834,0.63,39.69%,0.0023,0.000873892
7835,6.76,24.35%,0.0083,0.042445702
7836,11.76,22.43%,0.0028,0.02554225
7837,6.75,5.56%,0.0065,0.04143555
7838,18.69,22.08%,0.0043,0.062621966
7839,3.03,18.43%,0.0006,0.001482943
7840,7.02,7.71%,0.0082,0.053125816
7841,12.1,35.17%,0.0099,0.077659857
7842,23.08,1.58%,0.0014,0.03180147
7843,8.48,29.87%,0.002,0.011894048
7844,23.54,1.83%,0.0094,0.217226649
7845,21.76,7.12%,0.0046,0.092969165
7846,13.89,18.94%,0.0054,0.060799864
7847,5.75,27.50%,0.0009,0.003751875
7848,10.41,1.84%,0.0004,0.004087382
7849,23.49,2.99%,0.0074,0.168628603
7850,4.17,28.39%,0.0053,0.015826526
7851,2.92,30.72%,0.0063,0.012744749
7852,5.27,21.30%,0.0046,0.019078454
7853,3.5,10.96%,0.0073,0.02274972
7854,6.58,22.50%,0.0087,0.04436565
7855,10.38,23.12%,0.0017,0.013566245
7856,8.84,20.41%,0.0082,0.057693199
7857,19.07,8.87%,0.0055,0.095581701
7858,0.67,7.17%,0.0074,0.004602511
7859,17.82,20.40%,0.0069,0.097874568
7860,13.6,5.82%,0.0033,0.042267984
7861,10.05,16.10%,0.0073,0.061553235
7862,7.69,3.57%,0.0079,0.058582189
7863,10.82,21.82%,0.0011,0.009304984
7864,16.83,29.89%,0.0009,0.010619562
7865,2.57,15.72%,0.0052,0.011263179
7866,10.49,20.17%,0.0088,0.07369267
7867,17.3,38.32%,0.0094,0.100304016
7868,3.55,22.13%,0.0087,0.02405015
7869,2,4.00%,0.0001,0.000192
7870,7.44,26.05%,0.001,0.00550188
7871,13.81,16.30%,0.0081,0.093627657
7872,11.95,34.84%,0.0056,0.043605072
7873,0.27,32.54%,0.0011,0.000200356
7874,11.93,7.70%,0.0012,0.013213668
7875,13.96,24.93%,0.0072,0.075454358
7876,24.08,6.14%,0.003,0.067804464
7877,10.89,7.23%,0.0076,0.076780163
7878,14.34,34.49%,0.0078,0.073274245
7879,4.27,4.95%,0.0008,0.003246908
7880,15.53,4.99%,0.0011,0.016230558
7881,24.09,38.28%,0.0033,0.049065548
7882,8.84,31.64%,0.0034,0.020546282
7883,22.78,14.84%,0.002,0.038798896
7884,14.92,29.40%,0.0038,0.040027376
7885,24.56,25.31%,0.0012,0.022012637
7886,10.12,1.38%,0.0025,0.02495086
7887,14.4,2.42%,0.0088,0.123653376
7888,10.63,4.50%,0.0048,0.04872792
7889,14.98,13.34%,0.0055,0.071399174
7890,17.53,9.49%,0.0009,0.014279763
7891,22.43,28.57%,0.0019,0.030441323
7892,1.8,18.23%,0.0042,0.006181812
7893,6.82,33.29%,0.009,0.040946598
7894,21.03,37.60%,0.0025,0.0328068
